Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Cover
38942716,Veinte poemas de amor y una canción desesperada,Pablo Neruda,"Neruda, Pablo",,6070746260,9786070746260,4,4.2,booket,Paperback,40,2018,1924,2025/08/15,2025/07/31,,,read,Lorem ipsum dolor sit amet consectetur adipiscing elit. Quisque faucibus ex sapien vitae pellentesque sem placerat. In id cursus mi pretium tellus duis convallis. Tempus leo eu aenean sed diam urna tempor. Pulvinar vivamus fringilla lacus nec metus bibendum egestas. Iaculis massa nisl malesuada lacinia integer nunc posuere. Ut hendrerit semper vel class aptent taciti sociosqu. Ad litora torquent per conubia nostra inceptos himenaeos.,,,1,0,covers/veinte_poemas_de_amor_y_una_cancion_desesperada.jpg
199798179,The Ministry of Time,Kaliane Bradley,"Bradley, Kaliane",,1668045141,9781668045145,4,3.58,Avid Reader Press / Simon & Schuster,Hardcover,339,2024,2024,2025/08/14,2025/07/07,,,read,,,,1,0,covers/the_ministery_of_time.jpg
11438,What We Talk About When We Talk About Love,Raymond Carver,"Carver, Raymond",,0679723056,9780679723059,0,4.01,Vintage Books,Paperback,159,1989,1981,,2025/03/26,to-read,to-read (#107),to-read,,,,0,0,covers/what_we_talk_about_when_we_talk_about_love.jpg
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,0765316889,9780765316882,4,4.38,Tor Books,Hardcover,590,2007,2007,2025/07/23,2023/07/10,,,read,,,,1,0,covers/el_pozo_de_la_ascension.jpg
68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,,9780765311788,5,4.49,Tor Books,Hardcover,541,2006,2006,2023/12/27,2023/07/10,,,read,,,,2,0,covers/imperio_final.jpg
62926938,The Seven Year Slip,Ashley Poston,"Poston, Ashley",,,,0,4.17,Berkley,Paperback,336,2023,2023,,2024/03/24,"abandoned","abandoned (#1)",abandoned,,,,1,0,covers/the_seven_year_slip.jpg
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,0452284236,9780452284234,3,4.2,Plume,Paperback,368,2022,1949,2025/06/24,2023/07/15,,,read,,,,1,0,covers/1984.jpg
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,0553448188,9780553448184,4,3.65,Hogarth,Hardcover,188,2016,2007,2025/05/29,2024/12/22,,,read,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi.",,,1,0,covers/the_vegetarian.jpg
30091914,Human Acts,Han Kang,"Kang, Han",Deborah Smith,1101906723,9781101906729,0,4.27,Hogarth,Hardcover,218,2017,2014,,2023/09/02,"to-read, upcoming","to-read (#21), upcoming (#1)",to-read,,,,0,0,covers/human_acts.jpg
46171,Rayuela,Julio Cortázar,"Cortázar, Julio",Andrés Amorós,8437604575,9788437604572,0,4.2,Cátedra,Paperback,752,2010,1963,,2025/07/26,"upcoming, to-read","upcoming (#6), to-read (#123)",to-read,,,,0,0,covers/rayuela.jpg
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,0385539258,9780385539258,4,4.29,Doubleday,Hardcover,720,2015,2015,2025/03/18,2023/11/14,,,read,,,,1,0,covers/a_little_life.jpg
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,0857197681,9780857197689,0,4.29,Harriman House,Paperback,242,2020,2020,,2024/02/23,to-read,to-read (#108),to-read,,,,0,0,covers/the_psichology_of_money.jpg
58416952,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,1982141190,9781982141196,0,4.6,Gallery / Saga Press,Kindle Edition,639,2023,2023,,2025/05/30,to-read,to-read (#106),to-read,,,,0,0,covers/the_will_of_the_many.jpg
59947696,Wrong Place Wrong Time,Gillian McAllister,"McAllister, Gillian",,0063252341,9780063252349,5,3.97,William Morrow,Hardcover,416,2022,2022,2024/01/16,2023/12/30,,,read,,,,1,0,covers/wrong_place_wrong_time.jpg
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,0735243344,9780735243347,5,4.12,Knopf,Hardcover,401,2022,2022,2023/12/13,2023/06/19,,,read,"Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem.",,,1,0,covers/tomorrow_and_tomorrow_and_tomorrow.jpg
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,0802158749,9780802158741,1,4.12,Grove Press,Hardcover,128,2021,2021,2023/11/17,2023/11/14,,,read,,,,1,0,covers/small_things_like_these.jpg
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,0525559477,9780525559474,0,3.98,Viking,Hardcover,288,2020,2020,,2023/07/15,to-read,to-read (#109),to-read,,,,0,0,covers/the_midnight_library.jpg
59564386,The Lonely Stories,Natalie Eve Garrett,"Garrett, Natalie Eve","Megan Giddings, Claire Dederer, Imani Perry, Jeffery Renard Allen, Maggie Shipstead, Emily  Raboteau, Lev Grossman, Lena Dunham, Yiyun Li, Anthony Doerr, Helena Fitzgerald, Maile Meloy, Aja Gabel, Jean Kwok, Amy Shearn, Peter Ho Davies, Maya Shanbhag Lang, Jhumpa Lahiri, Jesmyn Ward, Lidia Yuknavitch, Dina Nayeri, Melissa Febos",194822660X,9781948226608,2,3.66,Catapult,Paperback,252,2022,2022,2023/11/12,2023/07/15,,,read,,,,1,0,covers/the_lonely_stories.jpg
40121378,Atomic Habits,James Clear,"Clear, James",,,,3,4.33,Avery,Kindle Edition,319,2018,2018,2020/01/01,2023/07/17,,,read,,,,1,0,covers/atomic_habits.jpg
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,,,0,4.31,Ecco,Paperback,408,2012,2011,,2025/05/30,to-read,to-read (#104),to-read,,,,0,0,covers/the_song_of_achilles.jpg
